epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,35929.9,0.36587,0.44848,0.93903,0.95829,0.92325,0.97034,0.91945,0.25254,0.25182,0.84969,0.000164908,0.000164908,0.000164908
87,36329.1,0.36059,0.44548,0.93432,0.95551,0.9281,0.9709,0.92003,0.25236,0.25161,0.84941,0.000144188,0.000144188,0.000144188
88,36716.9,0.35957,0.4383,0.93424,0.95383,0.92882,0.97041,0.92012,0.2526,0.25097,0.84944,0.000124806,0.000124806,0.000124806
89,37189.9,0.35971,0.43707,0.93487,0.95336,0.92979,0.97042,0.91959,0.25237,0.25026,0.84945,0.000106783,0.000106783,0.000106783
90,37577.1,0.36143,0.43946,0.93382,0.95479,0.92743,0.9702,0.91977,0.25226,0.24977,0.84942,9.01345e-05,9.01345e-05,9.01345e-05
91,37888.5,0.28125,0.314,0.88915,0.95684,0.9278,0.97046,0.92008,0.25321,0.24976,0.84983,7.48785e-05,7.48785e-05,7.48785e-05
92,38177.5,0.27755,0.30967,0.8885,0.95893,0.92642,0.97052,0.92002,0.25269,0.24991,0.8496,6.10297e-05,6.10297e-05,6.10297e-05
93,38473.5,0.27579,0.30496,0.88767,0.95784,0.92734,0.97082,0.92018,0.25278,0.24972,0.84958,4.86017e-05,4.86017e-05,4.86017e-05
94,38763.4,0.27663,0.31013,0.88728,0.95801,0.92833,0.97075,0.92013,0.25224,0.24929,0.84908,3.76068e-05,3.76068e-05,3.76068e-05
95,39059.2,0.27485,0.30689,0.88692,0.95866,0.9288,0.97072,0.92017,0.2522,0.24898,0.84888,2.80558e-05,2.80558e-05,2.80558e-05
96,39349.2,0.27597,0.30652,0.88773,0.95809,0.92861,0.97076,0.9204,0.25213,0.24894,0.84878,1.99583e-05,1.99583e-05,1.99583e-05
97,39644.9,0.27261,0.30258,0.88592,0.95774,0.92839,0.97077,0.92056,0.25197,0.24916,0.84859,1.3322e-05,1.3322e-05,1.3322e-05
98,39936,0.27352,0.30516,0.88523,0.95794,0.92839,0.97086,0.92091,0.25191,0.24903,0.84854,8.15372e-06,8.15372e-06,8.15372e-06
99,40231.9,0.27203,0.30291,0.88589,0.95839,0.92841,0.97096,0.921,0.2518,0.24904,0.84831,4.45843e-06,4.45843e-06,4.45843e-06
100,40521.6,0.27513,0.30526,0.8859,0.95876,0.92846,0.97098,0.921,0.25172,0.24883,0.84822,2.23979e-06,2.23979e-06,2.23979e-06
